nazwa,dzielnica,pokoj,metry,cena_metr,cena
Prądnik Czerwony Felińskiego Ładne Mieszkanie /Tbs," Kraków, Prądnik Czerwony",2 pokoje,"47,53 m²",2 420 zł/m²,115000zł
lokal użytkowy- jasna piwnica- pod inwestycję," Kraków, małopolskie",2 pokoje,"35,80 m²",3 212 zł/m²,115000zł
"B-U20 lokal usł. 16,61 m2 Osiedle Estella Czyżyny"," Kraków, Czyżyny",1 pokój,"16,61 m²",8 979 zł/m²,"149141,19zł"
"B-U10 lokal usł. 16,61 m2 Osiedle Estella Czyżyny"," Kraków, Czyżyny",1 pokój,"16,61 m²",8 979 zł/m²,"149141,19zł"
"Swoszowice, nowa kawalerka 15 m^2"," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
"Swoszowice, 15 m^2, 1 pok. wyposażone i umeblowane"," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
"Małe, wykończone mieszkanie w Swoszowicach"," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Zaproponuj swoją cenę - 46 m2 przy tramwaju!," Kraków, Bronowice Małe",1 pokój,"46,20 m²",108 zł/m²,5000zł
kliny," Kraków, Kliny-Zacisze",2 pokoje,"49,50 m²",2 000 zł/m²,99000zł
Kawalerka w Krakowie w niskiej cenie!," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowane mieszkanie 1-pokojowe!," Kraków, Swoszowice",1 pokój,"15,88 m²",8 942 zł/m²,142000zł
Najtańsza kawalerka po remoncie w Krakowie!," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
Mieszkanie za 142 000 zł!," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
Mieszkanie za 142 000 zł!," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
Mieszkanie za 99 000 zł!," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
"TBS Kraków, ul. Rydygiera, 33m - 80 000"," Kraków, małopolskie",1 pokój,33 m²,2 424 zł/m²,80000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Atrakcyjne Mieszkania/Lokale-Kraków Radzikowskiego," Kraków, Azory",>10 pokoi,"20,20 m²",6 980 zł/m²,141000zł
Kawalerka po remoncie ul. Niewodniczańskiego," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Wyremontowana kawalerka w dzielnicy Swoszowice.," Kraków, Swoszowice",1 pokój,15 m²,6 600 zł/m²,99000zł
